SUBTITLE_ConditionVeryThirsty3,I'd eat snow if the hypothermia wouldn't kill me.,,
SUBTITLE_ConditionVeryThirsty4,That guy who drank his own pee doesn't seem so crazy right now...,,
SUBTITLE_ConditionVeryThirsty5,I would do anything for a drink right now.,,
SUBTITLE_ConditionVeryThirsty6,I could use a drink.,,
SUBTITLE_ConditionVeryThirsty7,Getting kind of thirsty.,,
SUBTITLE_ConditionVeryThirsty8,Better find some water.,,
SUBTITLE_DeathScream1,[Scream],,
SUBTITLE_DeathScream2,[Scream],,
SUBTITLE_Die1,[Moan],,
SUBTITLE_Die2,[Moan],,
SUBTITLE_Die3,[Moan],,
SUBTITLE_Die4,[Moan],,
SUBTITLE_Dysentery1,Oh this is a shitty way to die...,,
SUBTITLE_Dysentery2,Oh man...of all the ways to die...this is the worst...,,
SUBTITLE_Dysentery3,Oh boy...it feels like my stomach is burning...,,
SUBTITLE_ExertionHigh1,[Heavy exertion grunt],,
SUBTITLE_ExertionHigh2,[Heavy exertion grunt],,
SUBTITLE_ExertionHigh3,[Heavy exertion grunt],,
SUBTITLE_ExertionLow1,[Light exertion grunt],,
SUBTITLE_ExertionLow2,[Light exertion grunt],,
SUBTITLE_ExertionLow3,[Light exertion grunt],,
SUBTITLE_ExertionMedium1,[Moderate exertion grunt],,
SUBTITLE_ExertionMedium2,[Moderate exertion grunt],,
SUBTITLE_ExertionMedium3,[Moderate exertion grunt],,
SUBTITLE_FailFire1,Come on little fire...,,
SUBTITLE_FailFire2,Don't do this to me.,,
SUBTITLE_FailFire3,Are you serious?,,
SUBTITLE_FailGeneral1,Damn it.,,Chiết tiệt.
SUBTITLE_FailGeneral2,That didn't work.,,
SUBTITLE_FailGeneral3,Why didn't that work?,,
SUBTITLE_FailGeneral4,Come on...come on...,,
SUBTITLE_FailGeneral5,Oh come on...,,
SUBTITLE_FemaleAnkleSprain1,Damn it...sprained my ankle.,,
SUBTITLE_FemaleAnkleSprain2,Oooh...that's sore.,,
SUBTITLE_FemaleAnkleSprain3,That's going to slow things down...,,
SUBTITLE_FemaleAtk1,[Attack grunt],,
SUBTITLE_FemaleAtk2,[Attack grunt],,
SUBTITLE_FemaleAtk3,[Attack grunt],,
SUBTITLE_FemaleAtk4,[Attack grunt],,
SUBTITLE_FemaleAtk5,[Attack grunt],,
SUBTITLE_FemaleBleeding1,Gotta stop that blood loss.,,
SUBTITLE_FemaleBleeding2,Need some first aid.,,
SUBTITLE_FemaleBleeding3,I gotta get some help.,,
SUBTITLE_FemaleBleeding4,Going to have to stop that bleeding somehow.,,
SUBTITLE_FemaleBleeding5,Gotta stop the bleeding before it gets worse.,,
SUBTITLE_FemaleBleedingSerious1,I'm gonna bleed out soon.,,
SUBTITLE_FemaleBleedingSerious2,Feeling...faint.,,
SUBTITLE_FemaleBleedingSerious3,Yeah...that smarts.,,
SUBTITLE_FemaleBleedingSerious4,Dammit...bleeding all over the place.,,
SUBTITLE_FemaleBleedingSerious5,Oh no...blood. All over. My blood.,,
SUBTITLE_FemaleBreathHighIntensity1,[Heavy breathing],,[Thở dốc]
SUBTITLE_FemaleBreathHighIntensity10,[Heavy breathing],,[Thở dốc]
SUBTITLE_FemaleBreathHighIntensity2,[Heavy breathing],,[Thở dốc]
SUBTITLE_FemaleBreathHighIntensity3,[Heavy breathing],,[Thở dốc]
SUBTITLE_FemaleBreathHighIntensity4,[Heavy breathing],,[Thở dốc]
SUBTITLE_FemaleBreathHighIntensity5,[Heavy breathing],,[Thở dốc]
SUBTITLE_FemaleBreathHighIntensity6,[Heavy breathing],,[Thở dốc]
SUBTITLE_FemaleBreathHighIntensity7,[Heavy breathing],,[Thở dốc]
SUBTITLE_FemaleBreathHighIntensity8,[Heavy breathing],,[Thở dốc]
SUBTITLE_FemaleBreathHighIntensity9,[Heavy breathing],,[Thở dốc]
SUBTITLE_FemaleBreathLowIntensity1,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_FemaleBreathLowIntensity2,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_FemaleBreathLowIntensity3,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_FemaleBreathLowIntensity4,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_FemaleBreathLowIntensity5,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_FemaleBreathLowIntensity6,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_FemaleBreathLowIntensity7,[Quiet breathing],,[Thở nhẹ]
SUBTITLE_FemaleBreathMediumIntensity1,[Moderate breathing],,[Thở đều]
SUBTITLE_FemaleBreathMediumIntensity10,[Moderate breathing],,[Thở đều]
SUBTITLE_FemaleBreathMediumIntensity2,[Moderate breathing],,[Thở đều]
SUBTITLE_FemaleBreathMediumIntensity3,[Moderate breathing],,[Thở đều]
SUBTITLE_FemaleBreathMediumIntensity4,[Moderate breathing],,[Thở đều]
SUBTITLE_FemaleBreathMediumIntensity5,[Moderate breathing],,[Thở đều]
SUBTITLE_FemaleBreathMediumIntensity6,[Moderate breathing],,[Thở đều]
SUBTITLE_FemaleBreathMediumIntensity7,[Moderate breathing],,[Thở đều]
SUBTITLE_FemaleBreathMediumIntensity8,[Moderate breathing],,[Thở đều]
SUBTITLE_FemaleBreathMediumIntensity9,[Moderate breathing],,[Thở đều]
SUBTITLE_FemaleBurnReaction1,Ow...hot hot hot.,,
SUBTITLE_FemaleBurnReaction2,Shit that burns.,,
SUBTITLE_FemaleBurnReaction3,Holy shit...that's hot.,,
SUBTITLE_FemaleBurnReaction4,Oh damn it...it burns...,,
SUBTITLE_FemaleBurnReaction5,Climbing into the fire...not a good idea.,,
SUBTITLE_FemaleBurns1,That hurts so much...,,
SUBTITLE_FemaleBurns2,It feels like it's still burning...,,
SUBTITLE_FemaleBurns3,Arggh the pain.,,
SUBTITLE_FemaleCatchBreath1,[Gasp],,
SUBTITLE_FemaleCatchBreath2,[Gasp],,
SUBTITLE_FemaleCatchBreath3,[Gasp],,
SUBTITLE_FemaleCatchBreath4,[Gasp],,
SUBTITLE_FemaleCatchBreath5,[Gasp],,
SUBTITLE_FemaleCombatAnimalGrappling1,Get away you mother...,,
SUBTITLE_FemaleCombatAnimalGrappling2,You're gonna die!!!!!,,
SUBTITLE_FemaleCombatAnimalGrappling3,I'm gonna to kill you and eat you ya bastard!!,,
SUBTITLE_FemaleCombatAnimalGrappling4,Let go of me!!!,,
SUBTITLE_FemaleCombatAnimalGrappling5,It's not gonna be that easy for you!!,,
SUBTITLE_FemaleCombatAnimalGrappling6,You're gonna have to do better than that!!,,
SUBTITLE_FemaleCombatAnimalGrappling7,[Extertion grunts],,
SUBTITLE_FemaleCombatAnimalGrappling8,[Extertion grunts],,
SUBTITLE_FemaleConditionDehydrated1,My tongue feels like sandpaper.,,
SUBTITLE_FemaleConditionDehydrated10,I would drink just about anything right now.,,
SUBTITLE_FemaleConditionDehydrated2,Mouth...so dry.,,
SUBTITLE_FemaleConditionDehydrated3,I need some water.,,
SUBTITLE_FemaleConditionDehydrated4,Need a drink.,,
SUBTITLE_FemaleConditionDehydrated5,Need...water.,,
SUBTITLE_FemaleConditionDehydrated6,I need to find something to drink.,,
SUBTITLE_FemaleConditionDehydrated7,I'm so thirsty I can't think straight.,,
SUBTITLE_FemaleConditionDehydrated8,"I need somethink to drink, and soon.",,
SUBTITLE_FemaleConditionDehydrated9,I'll die if I don't drink something soon.,,
SUBTITLE_FemaleConditionEncumberanceHigh1,Too much to carry.,,
SUBTITLE_FemaleConditionEncumberanceHigh2,I can't carry this any further.,,
SUBTITLE_FemaleConditionEncumberanceHigh3,I'm going to have leave some of this gear behind.,,
SUBTITLE_FemaleConditionEncumberanceLow1,This pack is getting kinda heavy.,,
SUBTITLE_FemaleConditionEncumberanceLow2,I'm not sure I can carry much more.,,
SUBTITLE_FemaleConditionEncumberanceLow3,I wonder if I can drop any of this gear...,,
SUBTITLE_FemaleConditionEncumberanceMedium1,I'm not going to be able to carry this load for much longer.,,
SUBTITLE_FemaleConditionEncumberanceMedium2,This pack is getting too heavy to carry.,,
SUBTITLE_FemaleConditionEncumberanceMedium3,I can barely walk with this much gear.,,
SUBTITLE_FemaleConditionFair1,I don't feel so good.,,
SUBTITLE_FemaleConditionFair2,I'm not sure I'm going to make it.,,
SUBTITLE_FemaleConditionFair3,Things are starting to look pretty grim.,,
SUBTITLE_FemaleConditionFair4,I'm not ready to die.,,
SUBTITLE_FemaleConditionFair5,(Needs new line recorded),,
SUBTITLE_FemaleConditionFatigue1,If I don't rest soon I'm going to faint.,,
SUBTITLE_FemaleConditionFatigue2,I think I need to lay down.,,
SUBTITLE_FemaleConditionFatigue3,I need to find a place to rest.,,
SUBTITLE_FemaleConditionFatigue4,I'm going to need to rest soon.,,
SUBTITLE_FemaleConditionFatigue5,Getting tired.,,
SUBTITLE_FemaleConditionFatigueHigh1,So tired I could just lay down right here.,,
SUBTITLE_FemaleConditionFatigueHigh2,I could lay down and have a little sleep right here.,,
SUBTITLE_FemaleConditionFatigueHigh3,I just need to close my eyes.,,
SUBTITLE_FemaleConditionFatigueHigh4,I'd lay down right here if I ever thought I'd wake up again.,,
SUBTITLE_FemaleConditionFatigueHigh5,So… tired…,,
SUBTITLE_FemaleConditionFatigueHigh6,"Man, I am too tired to think straight.",,
SUBTITLE_FemaleConditionFreezing1,Damn...I'm freezing.,,
SUBTITLE_FemaleConditionFreezing2,Goddam freezing.,,
SUBTITLE_FemaleConditionFreezing3,So...cold.,,
SUBTITLE_FemaleConditionFreezing4,I've never felt so cold in my life.,,
SUBTITLE_FemaleConditionFreezing5,I'm too cold to think.,,
SUBTITLE_FemaleConditionFreezing6,I'll die if I don't warm up soon.,,
SUBTITLE_FemaleConditionFreezing7,I'm so cold...just want to lay down for a bit...,,
SUBTITLE_FemaleConditionFreezing8,Wait...I'm so cold I'm warming up a bit.,,
SUBTITLE_FemaleConditionPoor1,I think this might be the end.,,
SUBTITLE_FemaleConditionPoor2,I'm going to die out here.,,
SUBTITLE_FemaleConditionPoor3,Things are starting to look pretty grim.,,
SUBTITLE_FemaleConditionPoor4,Not going to pull through this time...,,
SUBTITLE_FemaleConditionPoor5,In the end...did any of it really matter?,,
SUBTITLE_FemaleConditionStarving1,Dammit...so hungry.,,
SUBTITLE_FemaleConditionStarving10,Where can I find something to eat?,,
SUBTITLE_FemaleConditionStarving2,I'll die if I don't get some food soon.,,
SUBTITLE_FemaleConditionStarving3,Getting weak...,,
SUBTITLE_FemaleConditionStarving4,I'm so hungry.,,
SUBTITLE_FemaleConditionStarving5,Need something to eat.,,
SUBTITLE_FemaleConditionStarving6,My stomach feels like an empty pit...,,
SUBTITLE_FemaleConditionStarving7,Gotta eat soon.,,
SUBTITLE_FemaleConditionStarving8,Never thought I'd be dying from starvation.,,
SUBTITLE_FemaleConditionStarving9,I think my stomach is eating itself.,,
SUBTITLE_FemaleConditionVeryCold1,My fingers feel numb.,,
SUBTITLE_FemaleConditionVeryCold10,Jesus it's cold.,,
SUBTITLE_FemaleConditionVeryCold2,The cold is making my head feel thick...,,
SUBTITLE_FemaleConditionVeryCold3,I need to find some place to escape this cold.,,
SUBTITLE_FemaleConditionVeryCold4,I can't feel my feet.,,
SUBTITLE_FemaleConditionVeryCold5,I can't feel my hands.,,
SUBTITLE_FemaleConditionVeryCold6,Sure getting cold...,,
SUBTITLE_FemaleConditionVeryCold7,Starting to feel numb.,,
SUBTITLE_FemaleConditionVeryCold8,Gotta warm up somehow.,,
SUBTITLE_FemaleConditionVeryCold9,"Did I say I hate being cold, because I really do!",,
SUBTITLE_FemaleConditionVeryHungry1,I could eat anything right now.,,
SUBTITLE_FemaleConditionVeryHungry10,"Arrgh, I'm starving.",,
SUBTITLE_FemaleConditionVeryHungry2,I've never been so hungry in my life.,,
SUBTITLE_FemaleConditionVeryHungry3,Can you eat trees?,,
SUBTITLE_FemaleConditionVeryHungry4,All I can think about is food.,,
SUBTITLE_FemaleConditionVeryHungry5,I need to find food.,,
SUBTITLE_FemaleConditionVeryHungry6,I'm going to need to eat soon.,,
SUBTITLE_FemaleConditionVeryHungry7,I could eat anything.,,
SUBTITLE_FemaleConditionVeryHungry8,I could eat a horse.,,
SUBTITLE_FemaleConditionVeryHungry9,I'd eat anything right about now.,,
SUBTITLE_FemaleConditionVeryThirsty1,I would drink almost anything about now.,,
SUBTITLE_FemaleConditionVeryThirsty2,"Surrounded by snow, and nothing to drink...",,
SUBTITLE_FemaleConditionVeryThirsty3,I'd eat snow if the hypothermia wouldn't kill me.,,
SUBTITLE_FemaleConditionVeryThirsty4,That guy who drank his own pee doesn't seem so crazy right now...,,
SUBTITLE_FemaleConditionVeryThirsty5,I would do anything for a drink right now.,,
SUBTITLE_FemaleConditionVeryThirsty6,"Man, I could use a drink.",,
SUBTITLE_FemaleConditionVeryThirsty7,Getting a bit thirsty.,,
SUBTITLE_FemaleDeathScream1,[Scream],,
SUBTITLE_FemaleDeathScream2,[Scream],,
SUBTITLE_FemaleDeathScream3,[Scream],,
SUBTITLE_FemaleDie1,[Moan],,
SUBTITLE_FemaleDie2,[Moan],,
SUBTITLE_FemaleDie3,[Moan],,
SUBTITLE_FemaleDie4,[Moan],,
SUBTITLE_FemaleDysentery1,Oh this is a shitty way to die...,,
SUBTITLE_FemaleDysentery2,Oh man...of all the ways to die...this is the worst...,,
SUBTITLE_FemaleDysentery3,Oh boy...it feels like my stomach is burning...,,
SUBTITLE_FemaleExertionHigh1,[Heavy exertion grunt],,
SUBTITLE_FemaleExertionHigh2,[Heavy exertion grunt],,
SUBTITLE_FemaleExertionHigh3,[Heavy exertion grunt],,
SUBTITLE_FemaleExertionHigh4,[Heavy exertion grunt],,
SUBTITLE_FemaleExertionLow1,[Light exertion grunt],,
SUBTITLE_FemaleExertionLow2,[Light exertion grunt],,
SUBTITLE_FemaleExertionLow3,[Light exertion grunt],,
SUBTITLE_FemaleExertionLow4,[Light exertion grunt],,
SUBTITLE_FemaleExertionMedium1,[Moderate exertion grunt],,
SUBTITLE_FemaleExertionMedium2,[Moderate exertion grunt],,
SUBTITLE_FemaleExertionMedium3,[Moderate exertion grunt],,
SUBTITLE_FemaleExertionMedium4,[Moderate exertion grunt],,
SUBTITLE_FemaleFailFire1,Come on little fire...,,
SUBTITLE_FemaleFailFire2,Don't do this to me.,,
SUBTITLE_FemaleFailFire3,Come on! Are you serious?,,
SUBTITLE_FemaleFailGeneral1,Damn it.,,
SUBTITLE_FemaleFailGeneral2,That didn't work.,,
SUBTITLE_FemaleFailGeneral3,Why didn't that work?,,
SUBTITLE_FemaleFailGeneral4,Come on...come on...,,
SUBTITLE_FemaleFailGeneral5,Oh come on...,,
SUBTITLE_FemaleFoodPoisoning1,Ooooohh...I feel like I'm going to die...,,
SUBTITLE_FemaleFoodPoisoning2,Oh what a way to die...I just want to die...,,
SUBTITLE_FemaleFoodPoisoning3,My stomach...it hurts...oh it hurts...,,
SUBTITLE_FemaleHit1,[Pain grunt],,
SUBTITLE_FemaleHit2,[Pain grunt],,
SUBTITLE_FemaleHit3,[Pain grunt],,
SUBTITLE_FemaleHit4,[Pain grunt],,
SUBTITLE_FemaleHit5,[Pain grunt],,
SUBTITLE_FemaleInjuredHigh1,Holy...that...ahhhhhh...,,
SUBTITLE_FemaleInjuredHigh2,This is serious… right… okay.,,
SUBTITLE_FemaleInjuredHigh3,[Pain grunts],,
SUBTITLE_FemaleInjuredHigh4,[Pain grunts],,
SUBTITLE_FemaleInjuredHigh5,[Pain grunts],,
SUBTITLE_FemaleInjuredHigh6,[Pain grunts],,
SUBTITLE_FemaleInjuredLow1,Hurts a bit but I'll make it.,,
SUBTITLE_FemaleInjuredLow2,That smarts a bit.,,
SUBTITLE_FemaleInjuredLow3,[Pain grunts],,
SUBTITLE_FemaleInjuredLow4,[Pain grunts],,
SUBTITLE_FemaleInjuredLow5,[Pain grunts],,
SUBTITLE_FemaleInjuredLow6,[Pain grunts],,
SUBTITLE_FemaleInjuredLow7,"I'm going to need some first aid, soon. ",,
SUBTITLE_FemaleInjuredMedium1,Damn...that hurts.,,
SUBTITLE_FemaleInjuredMedium2,Wow...that hurts a lot.,,
SUBTITLE_FemaleInjuredMedium3,[Pain grunts],,
SUBTITLE_FemaleInjuredMedium4,[Pain grunts],,
SUBTITLE_FemaleInjuredMedium5,[Pain grunts],,
SUBTITLE_FemaleInjuredMedium6,[Pain grunts],,
SUBTITLE_FemaleInspectObject1,This stuff will come in handy.,,
SUBTITLE_FemaleInspectObject2,This'll come in handy.,,
SUBTITLE_FemaleInspectObject3,Best be prepared for anything.,,
SUBTITLE_FemaleInspectObject4,"Never know, could end up being useful.",,
SUBTITLE_FemaleInspectObject5,I think I can use this.,,
SUBTITLE_FemaleInspectObject6,Hmmm...ok.,,
SUBTITLE_FemaleInspectObject7,Probably useful.,,
SUBTITLE_FemaleInspectObject8,I'll take it.,,
SUBTITLE_FemaleLandHard1,[Hard grunt],,
SUBTITLE_FemaleLandHard2,[Hard grunt],,
SUBTITLE_FemaleLandHard3,[Hard grunt],,
SUBTITLE_FemaleLandHard4,[Hard grunt],,
SUBTITLE_FemaleLandLight1,[Light grunt],,
SUBTITLE_FemaleLandLight2,[Light grunt],,
SUBTITLE_FemaleLandLight3,[Light grunt],,
SUBTITLE_FemaleLandMedium1,[Medium grunt],,
SUBTITLE_FemaleLandMedium2,[Medium grunt],,
SUBTITLE_FemaleLandMedium3,[Medium grunt],,
SUBTITLE_FemaleLandMedium4,[Medium grunt],,
SUBTITLE_FemaleOpenContainer1,Never would have thought to look here.,,
SUBTITLE_FemaleOpenContainer10,Thank you!,,
SUBTITLE_FemaleOpenContainer11,Perfect!,,
SUBTITLE_FemaleOpenContainer2,What have we here?,,
SUBTITLE_FemaleOpenContainer3,Ahh...someone's stash.,,
SUBTITLE_FemaleOpenContainer4,Hope nobody needs this anymore.,,
SUBTITLE_FemaleOpenContainer5,I wonder who owns this stuff.,,
SUBTITLE_FemaleOpenContainer6,Wonder if the owner's around.,,
SUBTITLE_FemaleOpenContainer7,Looks like this has been here a while.,,
SUBTITLE_FemaleOpenContainer8,I could use this.,,
SUBTITLE_FemaleOpenContainer9,Oh lucky day.,,
SUBTITLE_FemaleTODDawn1,Looks like I made it through another night.,,
SUBTITLE_FemaleTODDawn3,Thank goodness...made it through another night.,,
SUBTITLE_FemaleTODDawn4,Looks like a new day is dawning.,,
SUBTITLE_FemaleTODDawn5,What do you know. Looks like I survived another night.,,
SUBTITLE_FemaleTODNight1,Feels like night is coming.,,
SUBTITLE_FemaleTODNight2,It's dusk so night can't be far behind.,,
SUBTITLE_FemaleTODNight3,It's getting dark out here. Time to look for shelter.,,
SUBTITLE_FemaleTODNight4,The sun is setting. It's going to get a lot colder soon.,,
SUBTITLE_FoodPoisoning1,Ooooohh...I feel like I'm going to die...,,
SUBTITLE_FoodPoisoning2,Oh what a way to die...I just want to die...,,
SUBTITLE_FoodPoisoning3,My stomach...it hurts...oh it hurts...,,
SUBTITLE_Hit1,[Pain grunt],,
SUBTITLE_Hit2,[Pain grunt],,
SUBTITLE_Hit3,[Pain grunt],,
SUBTITLE_Hit4,[Pain grunt],,
SUBTITLE_Hit5,[Pain grunt],,
SUBTITLE_InjuredHigh1,Holy...that...ahhhhhh...,,
SUBTITLE_InjuredHigh2,This is serious.,,
SUBTITLE_InjuredHigh3,[Pain grunts],,
SUBTITLE_InjuredHigh4,[Pain grunts],,
SUBTITLE_InjuredHigh5,[Pain grunts],,
SUBTITLE_InjuredHigh6,[Pain grunts],,
SUBTITLE_InjuredLow1,Hurts a bit but I'll make it.,,
SUBTITLE_InjuredLow2,That smarts a bit.,,
SUBTITLE_InjuredLow3,[Pain grunts],,
SUBTITLE_InjuredLow4,[Pain grunts],,
SUBTITLE_InjuredLow5,[Pain grunts],,
SUBTITLE_InjuredLow6,[Pain grunts],,
SUBTITLE_InjuredLow7,"I'm going to need some first aid, soon. ",,
SUBTITLE_InjuredMedium1,Damn...that hurts.,,
SUBTITLE_InjuredMedium2,Wow...that hurts a lot.,,
SUBTITLE_InjuredMedium3,[Pain grunts],,
SUBTITLE_InjuredMedium4,[Pain grunts],,
SUBTITLE_InjuredMedium5,[Pain grunts],,
SUBTITLE_InjuredMedium6,[Pain grunts],,
SUBTITLE_InspectObject1,That'll come in handy.,,
SUBTITLE_InspectObject2,What have we here?,,
SUBTITLE_InspectObject3,Hope nobody needs this anymore.,,
SUBTITLE_InspectObject4,Looks like this has been here a while.,,
SUBTITLE_InspectObject5,I could use this.,,
SUBTITLE_LandHard1,[Hard grunt],,
SUBTITLE_LandHard2,[Hard grunt],,
SUBTITLE_LandHard3,[Hard grunt],,
SUBTITLE_LandHard4,[Hard grunt],,
SUBTITLE_LandLight1,[Light grunt],,
SUBTITLE_LandLight2,[Light grunt],,
SUBTITLE_LandLight3,[Light grunt],,
SUBTITLE_LandMedium1,[Medium grunt],,
SUBTITLE_LandMedium2,[Medium grunt],,
SUBTITLE_LandMedium3,[Medium grunt],,
SUBTITLE_LandMedium4,[Medium grunt],,
SUBTITLE_OpenContainer1,There's gotta be something useful in here.,,
SUBTITLE_OpenContainer2,Where's the good stuff?,,
SUBTITLE_OpenContainer3,Never would have thought to look here.,,
SUBTITLE_OpenContainer4,"Ah, someone's stash.",,
SUBTITLE_OpenContainer5,I wonder who owns this stuff?,,
SUBTITLE_OpenContainer6,I wonder if the owner's around?,,
SUBTITLE_TODDawn1,Looks like I made it through another night.,,
SUBTITLE_TODDawn2,Thank goodness...made it through another night.,,
SUBTITLE_TODDawn3,Looks like a new day is dawning.,,
SUBTITLE_TODDawn4,Looks like I survived another night.,,
SUBTITLE_TODNight1,Feels like night is coming.,,
SUBTITLE_TODNight2,It's dusk so night can't be far behind.,,
SUBTITLE_TODNight3,It's getting dark out here. Time to look for shelter.,,
SUBTITLE_TODNight4,The sun is setting. It's going to get a lot colder soon.,,
GAMEPLAY_CattailPlantDescription,"The Cat Tail's head can be used as tinder. Its stalk is tough, not very filling, but edible...!",,
GAMEPLAY_TakeIt,Take It,,
GAMEPLAY_LeaveIt,Leave It,,
GAMEPLAY_EquipIt,Equip It,,
GAMEPLAY_HarvestIt,Harvest It,harvest plant,
GAMEPLAY_AimSensitivity,Aim Sensitivity,,
GAMEPLAY_LookSensitivity,Look Sensitivity,,
SCENENAME_WhalingStation,Desolation Point,Rocky coastal region where whaling station is located,
GAMEPLAY_Bow,Survival Bow,,
GAMEPLAY_BowDescription,"A simple, improvised bow, suitable for hunting small game.",,
GAMEPLAY_Arrow,Simple Arrow,,
GAMEPLAY_ArrowDescription,"A home-made Arrow, created by combining an Arrow Shaft with Crow Feathers and an Arrowhead.",,
GAMEPLAY_GutDried,Cured Gut,cured as in dried,
GAMEPLAY_GutDriedDescription,Gut that has been cured. Can be used for crafting and repair.,,
GAMEPLAY_MapleSapling,Green Maple Sapling,,
GAMEPLAY_MapleSaplingDescription,Freshly harvested maple sapling. Needs to be cured before it can be used for crafting and repair.,,
GAMEPLAY_MapleSaplingDried,Cured Maple Sapling,cured as in dried,
GAMEPLAY_MapleSaplingDriedDescription,Small maple sapling that has been cured. Can be used for crafting and repair.,,
GAMEPLAY_BirchSapling,Green Birch Sapling,,
GAMEPLAY_BirchSaplingDescription,Freshly harvested birch sapling. Needs to be cured before it can be used for crafting and repair.,,
GAMEPLAY_BirchSaplingDried,Cured Birch Sapling,cured as in dried,
GAMEPLAY_BirchSaplingDriedDescription,Small birch sapling that has been cured. Can be used for crafting and repair.,,
GAMEPLAY_Sapling,Sapling,,
GAMEPLAY_Saplings,Saplings,,
GAMEPLAY_BowWood,Bow Wood,,
GAMEPLAY_BowWoodDescription,"Bow wood, cured and shaped to maximize its power. Combine with Bow String.",,
GAMEPLAY_BowString,Bow String,,
GAMEPLAY_BowStringDescription,Gut that has been cured and looped to serve as a suitable bow string.,,
GAMEPLAY_CrowFeather,Crow Feather,,
GAMEPLAY_CrowFeathers,Crow Feathers,,
GAMEPLAY_CrowFeatherDescription,"A feather from a Crow. Add it to an Arrow Shaft to make a usable, stabilized arrow.",,
GAMEPLAY_ArrowShaft,Arrow Shaft,,
GAMEPLAY_ArrowShafts,Arrow Shafts,,
GAMEPLAY_ArrowShaftDescription,"A straight wooden arrow, cut and shaped from a cured Birch sapling. Combine with Crow feathers and Arrowhead to make a usable Arrow.",,
GAMEPLAY_FeatheredArrowShaft,Arrow Shaft,,
GAMEPLAY_FeatheredArrowShafts,Arrow Shafts,,
GAMEPLAY_FeatheredArrowShaftDescription,"A straight wooden arrow, cut and shaped from a cured Birch sapling. Combine with Crow feathers and Arrowhead to make a usable Arrow.",,
GAMEPLAY_ArrowHead,Arrowhead,,
GAMEPLAY_ArrowHeads,Arrowheads,,
GAMEPLAY_ArrowHeadDescription,"Sharp metal tip for an Arrow, improvised from scrap.",,
GAMEPLAY_CuredPostfix,({%-value}% Cured),cured as in dried,
GAMEPLAY_TimeUntilDryInventory,Can be used for crafting and repair after air-drying indoors for {time-value}.,,
GAMEPLAY_BearHideDried,Cured Black Bear Hide,cured as in dried,
GAMEPLAY_BearHideDriedDescription,Fur and skin of a Black bear. Can be used for crafting and repair.,,
GAMEPLAY_LeatherDried,Cured Leather,cured as in dried,
GAMEPLAY_LeatherDriedDescription,Leather that can be used for repairs.,,
GAMEPLAY_DeerHideDried,Cured Deer Hide,cured as in dried,
GAMEPLAY_DeerHideDriedDescription,Hide from a Deer. Can be used for crafting and repair.,,
GAMEPLAY_PeltDried,Cured Rabbit Pelt,cured as in dried,
GAMEPLAY_PeltDriedDescription,Rabbit pelt. Can be used for crafting and repair.,,
GAMEPLAY_WolfPeltDried,Cured Wolf Pelt,cured as in dried,
GAMEPLAY_WolfPeltDriedDescription,"Fur from a Wolf. Warm, and striking to look at. Can be used for crafting and repair.",,
GAMEPLAY_HarvestingToolRequired,(Tool required),,
GAMEPLAY_HarvestingHatchetRequired,A Hatchet is required for harvesting.,,
GAMEPLAY_EatIt,Eat it,,
GAMEPLAY_DrinkIt,Drink it,,
GAMEPLAY_DeerSkinPants,Deerskin Pants,,
GAMEPLAY_DeerSkinPantsDescription,"Pants handcrafted from Deerskin. Supple, warm and tough.",,
GAMEPLAY_Required,required,,
GAMEPLAY_CannotCraftWithoutRequiredTool,Cannot craft item without a required tool,,
GAMEPLAY_BrokenArrow,Broken Arrow,,
GAMEPLAY_BrokenArrowDescription,A broken arrow. The arrow-head and some of the feathers may be salvageable.,,
GAMEPLAY_Unload,Unload,as in: unload ammo from a gun,
GAMEPLAY_GunDescEmpty,The gun is not currently loaded.,,
GAMEPLAY_GunDescLoadedRound,The gun has {num-rounds} round loaded.,,
GAMEPLAY_GunDescLoadedRounds,The gun has {num-rounds} rounds loaded.,,
GAMEPLAY_PillsRequiredValue,Dosage is {num-pills} pills,,
GAMEPLAY_ButtonActions,Actions,,
GAMEPLAY_ButtonCraft,Craft,,
GAMEPLAY_ButtonCycleTool,Cycle Tool,,
GAMEPLAY_ButtonSort,Sort,,
GAMEPLAY_Examine,Examine,,
GAMEPLAY_HarvestingWillCost,Harvesting Will Cost,,
GAMEPLAY_Select,Select,,
GAMEPLAY_ToolRequired,Tool Required,,
GAMEPLAY_Controller_SurvivalPanel,Survival Panel,,
GAMEPLAY_Controller_PauseMenu,Pause Menu,,
GAMEPLAY_Controller_Interact,Interact,,
GAMEPLAY_Controller_ReloadWeapon,Reload Weapon,,
GAMEPLAY_Controller_Backpack,Backpack,,
GAMEPLAY_Controller_AimWeapon,Aim Weapon (LT),,
GAMEPLAY_Controller_FireWeapon,Fire Weapon (RT),,
GAMEPLAY_Controller_Run,Run (RB),,
GAMEPLAY_Controller_Crouch,Crouch (Click RS),,
GAMEPLAY_Controller_MoveCharacter,Move Character,,
